controller_id,device_id,band,collection_time,jitter,latency,wan_bandwidth,upload_bandwidth,wan_connectivity,wan_throughput,memory_free,memory_total,cpu_usage,number_of_alerts,is_controller,connectivity_score,available_bandwidth_score,internet_delay_score,internet_jitter_score,system_health_score,congestion_score,wifi_coverage_score,wifi_availability_score,noise,utilization,transmit,receive_self,receive_other,congestion_rate,associated_device_number_of_entries,average_rx_rate,average_tx_rate,bandwidth,bytes_sent,errors_pkt,ip_address,packets_received,packets_sent,errors_sent,errors_received,bytes_received,backhaul_sta_mac_address,backhaul_sta_backhaul_link_type,backhaul_sta_link_rate,backhaul_sta_signal_strength,backhaul_sta_utilization
74:FE:CE:72:5E:EC,74:FE:CE:72:5E:EC,2.4GHz,1649316610,2,80,0,,0,3,,,,2,1,5.0,1.0,4.5,5.0,5.0,,0.0,1.0,14,247,,,,,0,4,4,20MHz,2135541,101,192.168.0.1,6064,8284,,,,0,NULL,0,0,0
74:FE:CE:72:5E:EC,74:FE:CE:72:5E:EC,5GHz,1649316610,2,80,0,,0,3,,,,2,1,5.0,1.0,4.5,5.0,5.0,,0.0,4.4,8,86,,,,,1,27,25,160MHz,210654344,32,192.168.0.1,477185,515734,,,,0,NULL,0,0,0
00:0A:EB:13:95:BE,00:0A:EB:13:95:BE,2.4GHz,1722299950,1,6,0,0,0,1,189548,490084,2,3,1,5.0,1.0,5.0,5.0,5.0,2.7,---,2.4,104,132,9,0,136,123,0,0,0,40MHz,0,6710791,192.168.0.1,39364075,0,,,,0,NULL,0,0,0
00:0A:EB:13:95:BE,00:0A:EB:13:95:BE,5GHz,1722299950,1,6,0,0,0,1,189548,490084,2,3,1,5.0,1.0,5.0,5.0,5.0,2.7,---,2.4,40,147,2,0,142,145,0,0,0,80MHz,0,281939237,192.168.0.1,396806059,0,,,,0,NULL,0,0,0
00:0A:EB:13:95:BE,00:0A:EB:13:95:BE,6GHz,1722299950,1,6,0,0,0,1,189548,490084,2,3,1,5.0,1.0,5.0,5.0,5.0,2.7,---,5.0,36,0,1,0,0,0,0,0,0,160MHz,0,1087667,192.168.0.1,1155939,0,,,,0,NULL,0,0,0
00:FF:00:2E:8E:44,00:FF:00:2E:8E:44,2.4GHz,1722300250,1,6,0,0,0,1,192544,490084,2,3,1,5.0,1.0,5.0,5.0,5.0,2.1,---,1.1,66,181,9,0,191,172,0,0,0,40MHz,0,29664175,192.168.0.1,75642952,0,,,,0,NULL,0,0,0
00:FF:00:2E:8E:44,00:FF:00:2E:8E:44,5GHz,1722300250,1,6,0,0,0,1,192544,490084,2,3,1,5.0,1.0,5.0,5.0,5.0,2.1,---,2.9,46,135,2,0,123,133,0,0,0,80MHz,0,283863320,192.168.0.1,396358694,0,,,,0,NULL,0,0,0
00:FF:00:2E:8E:44,00:FF:00:2E:8E:44,6GHz,1722300250,1,6,0,0,0,1,192544,490084,2,3,1,5.0,1.0,5.0,5.0,5.0,2.1,---,5.0,36,0,1,0,0,0,0,0,0,160MHz,0,2364505,192.168.0.1,2420583,0,,,,0,NULL,0,0,0
74:FE:CE:72:5E:EC,9C:A2:F4:AB:1D:C4,2.4GHz,1649317510,7,87,0,,0,13,,,,1,0,5.0,1.0,4.3,5.0,5.0,,0.0,3.8,20,96,,,,,0,0,0,20MHz,14520,47075,192.168.0.2,3311826,2289,,,,9A:A2:F4:AB:1D:C4,NULL,0,0,0
74:FE:CE:72:5E:EC,9C:A2:F4:AB:1D:C4,5GHz,1649317510,7,87,0,,0,13,,,,1,0,5.0,1.0,4.3,5.0,5.0,,0.0,5.0,52,35,,,,,0,0,0,80MHz,65773,2202891,192.168.0.2,12089641,130448,,,,96:A2:F4:AB:1D:C4,NULL,0,0,0
